date,atm_id,area,weather,major_event,twenty_dollar_bills_withdrawn,fifty_dollar_bills_withdrawn,hundred_dollar_bills_withdrawn
2023-01-03,LM-ATM-005,South Street Seaport,cloudy,None,58,42,27
2023-01-03,LM-ATM-006,Tribeca,cloudy,None,54,21,10
2023-01-03,LM-ATM-007,City Hall,cloudy,None,75,30,16
2023-01-03,LM-ATM-008,Chinatown,cloudy,None,71,33,18
2023-01-03,LM-ATM-009,Little Italy,cloudy,None,54,31,19
2023-01-03,LM-ATM-010,SoHo Broadway,cloudy,None,57,38,26
2023-01-03,LM-ATM-011,NoLiTa,cloudy,None,46,30,20
2023-01-03,LM-ATM-012,Canal Street,cloudy,None,58,36,21
2023-01-03,LM-ATM-013,World Trade Center,cloudy,None,101,37,21
2023-01-03,LM-ATM-014,Brookfield Place,cloudy,None,81,28,15
2023-01-03,LM-ATM-015,Bowling Green,cloudy,None,71,28,14
2023-01-03,LM-ATM-016,Staten Ferry Terminal,cloudy,None,65,41,28
2023-01-03,LM-ATM-017,Essex Market,cloudy,None,48,24,12
2023-01-03,LM-ATM-018,Houston Street,cloudy,None,69,35,19
2023-01-03,LM-ATM-019,Delancey Street,cloudy,None,51,32,19
2023-01-03,LM-ATM-020,Pier 17,cloudy,None,45,35,20
2023-01-04,LM-ATM-001,Battery Park,clear,None,61,36,21
2023-01-04,LM-ATM-002,Wall Street,clear,None,125,29,13
2023-01-04,LM-ATM-003,Broad Street,clear,None,90,25,11
2023-01-04,LM-ATM-004,Fulton Center,clear,None,99,40,23
2023-01-04,LM-ATM-005,South Street Seaport,clear,None,63,39,27
2023-01-04,LM-ATM-006,Tribeca,clear,None,60,26,13
2023-01-04,LM-ATM-007,City Hall,clear,None,72,28,16
2023-01-04,LM-ATM-008,Chinatown,clear,None,81,35,25
2023-01-04,LM-ATM-009,Little Italy,clear,None,62,38,22
2023-01-04,LM-ATM-010,SoHo Broadway,clear,None,72,57,35
2023-01-04,LM-ATM-011,NoLiTa,clear,None,49,29,18
2023-01-04,LM-ATM-012,Canal Street,clear,None,68,39,22
2023-01-04,LM-ATM-013,World Trade Center,clear,None,114,45,26
2023-01-04,LM-ATM-014,Brookfield Place,clear,None,96,30,20
2023-01-04,LM-ATM-015,Bowling Green,clear,None,90,35,21
2023-01-04,LM-ATM-016,Staten Ferry Terminal,clear,None,68,45,27
2023-01-04,LM-ATM-017,Essex Market,clear,None,55,27,15
2023-01-04,LM-ATM-018,Houston Street,clear,None,70,42,25
2023-01-04,LM-ATM-019,Delancey Street,clear,None,48,26,14
2023-01-04,LM-ATM-020,Pier 17,clear,None,52,40,26
2023-01-05,LM-ATM-001,Battery Park,cloudy,None,42,25,16
2023-01-05,LM-ATM-002,Wall Street,cloudy,None,122,30,15
2023-01-05,LM-ATM-003,Broad Street,cloudy,None,81,22,9
2023-01-05,LM-ATM-004,Fulton Center,cloudy,None,75,27,18
2023-01-05,LM-ATM-005,South Street Seaport,cloudy,None,53,33,21
2023-01-05,LM-ATM-006,Tribeca,cloudy,None,71,29,14
2023-01-05,LM-ATM-007,City Hall,cloudy,None,68,28,16
2023-01-05,LM-ATM-008,Chinatown,cloudy,None,71,27,18
2023-01-05,LM-ATM-009,Little Italy,cloudy,None,64,43,25
2023-01-05,LM-ATM-010,SoHo Broadway,cloudy,None,63,47,30
2023-01-05,LM-ATM-011,NoLiTa,cloudy,None,46,35,17
2023-01-05,LM-ATM-012,Canal Street,cloudy,None,67,34,21
2023-01-05,LM-ATM-013,World Trade Center,cloudy,None,114,48,25
2023-01-05,LM-ATM-014,Brookfield Place,cloudy,None,77,24,16
2023-01-05,LM-ATM-015,Bowling Green,cloudy,None,59,24,14
2023-01-05,LM-ATM-016,Staten Ferry Terminal,cloudy,None,55,35,21
2023-01-05,LM-ATM-017,Essex Market,cloudy,None,61,33,20
2023-01-05,LM-ATM-018,Houston Street,cloudy,None,70,36,18
2023-01-05,LM-ATM-019,Delancey Street,cloudy,None,70,36,22
2023-01-05,LM-ATM-020,Pier 17,cloudy,None,61,45,31
2023-01-06,LM-ATM-001,Battery Park,cloudy,None,54,35,22
2023-01-06,LM-ATM-002,Wall Street,cloudy,None,102,26,10
2023-01-06,LM-ATM-003,Broad Street,cloudy,None,109,30,15
2023-01-06,LM-ATM-004,Fulton Center,cloudy,None,92,39,22
2023-01-06,LM-ATM-005,South Street Seaport,cloudy,None,51,34,22
2023-01-06,LM-ATM-006,Tribeca,cloudy,None,74,27,16
2023-01-06,LM-ATM-007,City Hall,cloudy,None,61,24,11
2023-01-06,LM-ATM-008,Chinatown,cloudy,None,87,43,25
2023-01-06,LM-ATM-009,Little Italy,cloudy,None,55,35,22
2023-01-06,LM-ATM-010,SoHo Broadway,cloudy,None,64,48,31
2023-01-06,LM-ATM-011,NoLiTa,cloudy,None,44,27,15
2023-01-06,LM-ATM-012,Canal Street,cloudy,None,75,37,21
2023-01-06,LM-ATM-013,World Trade Center,cloudy,None,105,40,24
2023-01-06,LM-ATM-014,Brookfield Place,cloudy,None,86,32,18
2023-01-06,LM-ATM-015,Bowling Green,cloudy,None,63,30,12
2023-01-06,LM-ATM-016,Staten Ferry Terminal,cloudy,None,73,43,27
2023-01-06,LM-ATM-017,Essex Market,cloudy,None,48,29,15
2023-01-06,LM-ATM-018,Houston Street,cloudy,None,67,40,18
2023-01-06,LM-ATM-019,Delancey Street,cloudy,None,58,31,17
2023-01-06,LM-ATM-020,Pier 17,cloudy,None,58,48,28
2023-01-07,LM-ATM-001,Battery Park,cloudy,None,52,39,22
2023-01-07,LM-ATM-002,Wall Street,cloudy,None,77,28,13
2023-01-07,LM-ATM-003,Broad Street,cloudy,None,75,25,12
2023-01-07,LM-ATM-004,Fulton Center,cloudy,None,84,38,23
2023-01-07,LM-ATM-005,South Street Seaport,cloudy,None,59,50,31
2023-01-07,LM-ATM-006,Tribeca,cloudy,None,61,29,15
2023-01-07,LM-ATM-007,City Hall,cloudy,None,64,33,17
2023-01-07,LM-ATM-008,Chinatown,cloudy,None,69,42,22
2023-01-07,LM-ATM-009,Little Italy,cloudy,None,41,33,20
2023-01-07,LM-ATM-010,SoHo Broadway,cloudy,None,70,50,33
2023-01-07,LM-ATM-011,NoLiTa,cloudy,None,48,35,20
2023-01-07,LM-ATM-012,Canal Street,cloudy,None,72,43,27
2023-01-07,LM-ATM-013,World Trade Center,cloudy,None,76,33,18
2023-01-07,LM-ATM-014,Brookfield Place,cloudy,None,88,36,18
2023-01-07,LM-ATM-015,Bowling Green,cloudy,None,65,33,18
2023-01-07,LM-ATM-016,Staten Ferry Terminal,cloudy,None,59,43,32
2023-01-07,LM-ATM-017,Essex Market,cloudy,None,64,28,19
2023-01-07,LM-ATM-018,Houston Street,cloudy,None,50,30,18
2023-01-07,LM-ATM-019,Delancey Street,cloudy,None,64,40,21
2023-01-07,LM-ATM-020,Pier 17,cloudy,None,57,51,33
2023-01-08,LM-ATM-001,Battery Park,cloudy,None,59,39,24
2023-01-08,LM-ATM-002,Wall Street,cloudy,None,76,24,11
2023-01-08,LM-ATM-003,Broad Street,cloudy,None,88,30,15
2023-01-08,LM-ATM-004,Fulton Center,cloudy,None,85,41,21
2023-01-08,LM-ATM-005,South Street Seaport,cloudy,None,51,37,25
2023-01-08,LM-ATM-006,Tribeca,cloudy,None,69,35,18
2023-01-08,LM-ATM-007,City Hall,cloudy,None,79,35,19
2023-01-08,LM-ATM-008,Chinatown,cloudy,None,69,39,21
2023-01-08,LM-ATM-009,Little Italy,cloudy,None,56,36,23
2023-01-08,LM-ATM-010,SoHo Broadway,cloudy,None,70,53,33
2023-01-08,LM-ATM-011,NoLiTa,cloudy,None,52,38,23
2023-01-08,LM-ATM-012,Canal Street,cloudy,None,75,45,27
2023-01-08,LM-ATM-013,World Trade Center,cloudy,None,87,38,21
2023-01-08,LM-ATM-014,Brookfield Place,cloudy,None,84,36,18
2023-01-08,LM-ATM-015,Bowling Green,cloudy,None,61,32,18
2023-01-08,LM-ATM-016,Staten Ferry Terminal,cloudy,None,59,45,24
2023-01-08,LM-ATM-017,Essex Market,cloudy,None,73,42,27
2023-01-08,LM-ATM-018,Houston Street,cloudy,None,55,38,21
2023-01-08,LM-ATM-019,Delancey Street,cloudy,None,52,41,19
2023-01-08,LM-ATM-020,Pier 17,cloudy,None,62,49,32
2023-01-09,LM-ATM-001,Battery Park,cloudy,None,75,43,26
2023-01-09,LM-ATM-002,Wall Street,cloudy,None,107,30,10
2023-01-09,LM-ATM-003,Broad Street,cloudy,None,78,20,8
2023-01-09,LM-ATM-004,Fulton Center,cloudy,None,97,44,23
2023-01-09,LM-ATM-005,South Street Seaport,cloudy,None,61,39,24
2023-01-09,LM-ATM-006,Tribeca,cloudy,None,76,25,15
2023-01-09,LM-ATM-007,City Hall,cloudy,None,96,36,21
2023-01-09,LM-ATM-008,Chinatown,cloudy,None,68,30,18
2023-01-09,LM-ATM-009,Little Italy,cloudy,None,51,33,21
2023-01-09,LM-ATM-010,SoHo Broadway,cloudy,None,65,45,25
2023-01-09,LM-ATM-011,NoLiTa,cloudy,None,59,36,21
2023-01-09,LM-ATM-012,Canal Street,cloudy,None,59,32,20
2023-01-09,LM-ATM-013,World Trade Center,cloudy,None,119,42,24
2023-01-09,LM-ATM-014,Brookfield Place,cloudy,None,97,36,20
2023-01-09,LM-ATM-015,Bowling Green,cloudy,None,62,24,14
2023-01-09,LM-ATM-016,Staten Ferry Terminal,cloudy,None,57,39,22
2023-01-09,LM-ATM-017,Essex Market,cloudy,None,71,33,23
2023-01-09,LM-ATM-018,Houston Street,cloudy,None,53,30,17
2023-01-09,LM-ATM-019,Delancey Street,cloudy,None,58,30,20
2023-01-09,LM-ATM-020,Pier 17,cloudy,None,67,50,32
2023-01-10,LM-ATM-001,Battery Park,clear,None,60,38,21
2023-01-10,LM-ATM-002,Wall Street,clear,None,125,28,13
2023-01-10,LM-ATM-003,Broad Street,clear,None,125,36,14
2023-01-10,LM-ATM-004,Fulton Center,clear,None,100,43,24
2023-01-10,LM-ATM-005,South Street Seaport,clear,None,64,51,29
2023-01-10,LM-ATM-006,Tribeca,clear,None,68,26,14
2023-01-10,LM-ATM-007,City Hall,clear,None,90,29,19
2023-01-10,LM-ATM-008,Chinatown,clear,None,72,38,23
2023-01-10,LM-ATM-009,Little Italy,clear,None,64,36,21
2023-01-10,LM-ATM-010,SoHo Broadway,clear,None,61,37,26
2023-01-10,LM-ATM-011,NoLiTa,clear,None,54,32,20
2023-01-10,LM-ATM-012,Canal Street,clear,None,74,35,20
2023-01-10,LM-ATM-013,World Trade Center,clear,None,111,40,26
2023-01-10,LM-ATM-014,Brookfield Place,clear,None,84,29,17
2023-01-10,LM-ATM-015,Bowling Green,clear,None,90,40,22
2023-01-10,LM-ATM-016,Staten Ferry Terminal,clear,None,63,44,25
2023-01-10,LM-ATM-017,Essex Market,clear,None,53,31,16
2023-01-10,LM-ATM-018,Houston Street,clear,None,54,33,20
2023-01-10,LM-ATM-019,Delancey Street,clear,None,65,33,22
2023-01-10,LM-ATM-020,Pier 17,clear,None,56,41,25
2023-01-11,LM-ATM-001,Battery Park,rain,None,38,25,14
2023-01-11,LM-ATM-002,Wall Street,rain,None,87,21,10
2023-01-11,LM-ATM-003,Broad Street,rain,None,90,27,11
2023-01-11,LM-ATM-004,Fulton Center,rain,None,86,42,23
2023-01-11,LM-ATM-005,South Street Seaport,rain,None,60,38,27
2023-01-11,LM-ATM-006,Tribeca,rain,None,72,29,15
2023-01-11,LM-ATM-007,City Hall,rain,None,76,26,16
2023-01-11,LM-ATM-008,Chinatown,rain,None,49,26,13
2023-01-11,LM-ATM-009,Little Italy,rain,None,57,35,21
2023-01-11,LM-ATM-010,SoHo Broadway,rain,None,52,46,27
2023-01-11,LM-ATM-011,NoLiTa,rain,None,48,30,18
2023-01-11,LM-ATM-012,Canal Street,rain,None,49,26,17
2023-01-11,LM-ATM-013,World Trade Center,rain,None,102,33,19
2023-01-11,LM-ATM-014,Brookfield Place,rain,None,73,27,13
2023-01-11,LM-ATM-015,Bowling Green,rain,None,74,27,16
2023-01-11,LM-ATM-016,Staten Ferry Terminal,rain,None,44,26,15
2023-01-11,LM-ATM-017,Essex Market,rain,None,53,31,16
2023-01-11,LM-ATM-018,Houston Street,rain,None,54,30,18
2023-01-11,LM-ATM-019,Delancey Street,rain,None,53,30,17
2023-01-11,LM-ATM-020,Pier 17,rain,None,49,34,23
2023-01-12,LM-ATM-001,Battery Park,snow,None,32,24,14
2023-01-12,LM-ATM-002,Wall Street,snow,None,61,20,9
2023-01-12,LM-ATM-003,Broad Street,snow,None,58,18,10
2023-01-12,LM-ATM-004,Fulton Center,snow,None,65,31,17
2023-01-12,LM-ATM-005,South Street Seaport,snow,None,43,35,20
2023-01-12,LM-ATM-006,Tribeca,snow,None,46,20,10
2023-01-12,LM-ATM-007,City Hall,snow,None,37,17,10
2023-01-12,LM-ATM-008,Chinatown,snow,None,45,28,14
2023-01-12,LM-ATM-009,Little Italy,snow,None,36,27,15
2023-01-12,LM-ATM-010,SoHo Broadway,snow,None,47,36,23
2023-01-12,LM-ATM-011,NoLiTa,snow,None,33,24,14
2023-01-12,LM-ATM-012,Canal Street,snow,None,36,19,13
2023-01-12,LM-ATM-013,World Trade Center,snow,None,82,33,19
2023-01-12,LM-ATM-014,Brookfield Place,snow,None,56,24,11
2023-01-12,LM-ATM-015,Bowling Green,snow,None,49,22,11
2023-01-12,LM-ATM-016,Staten Ferry Terminal,snow,None,40,28,18
2023-01-12,LM-ATM-017,Essex Market,snow,None,44,24,15
2023-01-12,LM-ATM-018,Houston Street,snow,None,40,26,16
2023-01-12,LM-ATM-019,Delancey Street,snow,None,43,25,17
2023-01-12,LM-ATM-020,Pier 17,snow,None,34,30,18
2023-01-13,LM-ATM-001,Battery Park,cloudy,None,57,40,22
2023-01-13,LM-ATM-002,Wall Street,cloudy,None,104,26,12
2023-01-13,LM-ATM-003,Broad Street,cloudy,None,98,32,14
2023-01-13,LM-ATM-004,Fulton Center,cloudy,None,92,39,24
2023-01-13,LM-ATM-005,South Street Seaport,cloudy,None,57,36,21
2023-01-13,LM-ATM-006,Tribeca,cloudy,None,80,30,15
2023-01-13,LM-ATM-007,City Hall,cloudy,None,80,32,17
2023-01-13,LM-ATM-008,Chinatown,cloudy,None,60,32,16
2023-01-13,LM-ATM-009,Little Italy,cloudy,None,50,36,22
2023-01-13,LM-ATM-010,SoHo Broadway,cloudy,None,52,38,25
2023-01-13,LM-ATM-011,NoLiTa,cloudy,None,69,35,23
2023-01-13,LM-ATM-012,Canal Street,cloudy,None,61,27,20
2023-01-13,LM-ATM-013,World Trade Center,cloudy,None,96,37,16
2023-01-13,LM-ATM-014,Brookfield Place,cloudy,None,82,32,19
2023-01-13,LM-ATM-015,Bowling Green,cloudy,None,78,37,19
2023-01-13,LM-ATM-016,Staten Ferry Terminal,cloudy,None,67,33,25
2023-01-13,LM-ATM-017,Essex Market,cloudy,None,53,26,15
2023-01-13,LM-ATM-018,Houston Street,cloudy,None,70,38,21
2023-01-13,LM-ATM-019,Delancey Street,cloudy,None,57,30,15
2023-01-13,LM-ATM-020,Pier 17,cloudy,None,47,36,21
2023-01-14,LM-ATM-001,Battery Park,clear,None,71,44,26
2023-01-14,LM-ATM-002,Wall Street,clear,None,77,25,10
2023-01-14,LM-ATM-003,Broad Street,clear,None,87,29,13
2023-01-14,LM-ATM-004,Fulton Center,clear,None,111,52,30
2023-01-14,LM-ATM-005,South Street Seaport,clear,None,69,51,34
2023-01-14,LM-ATM-006,Tribeca,clear,None,69,32,14
2023-01-14,LM-ATM-007,City Hall,clear,None,69,35,17
2023-01-14,LM-ATM-008,Chinatown,clear,None,62,43,20
2023-01-14,LM-ATM-009,Little Italy,clear,None,62,45,26
2023-01-14,LM-ATM-010,SoHo Broadway,clear,None,71,56,40
2023-01-14,LM-ATM-011,NoLiTa,clear,None,51,35,20
2023-01-14,LM-ATM-012,Canal Street,clear,None,75,48,30
2023-01-14,LM-ATM-013,World Trade Center,clear,None,103,37,24
2023-01-14,LM-ATM-014,Brookfield Place,clear,None,112,50,20
2023-01-14,LM-ATM-015,Bowling Green,clear,None,52,29,15
2023-01-14,LM-ATM-016,Staten Ferry Terminal,clear,None,63,45,27
2023-01-14,LM-ATM-017,Essex Market,clear,None,64,45,22
2023-01-14,LM-ATM-018,Houston Street,clear,None,60,34,21
2023-01-14,LM-ATM-019,Delancey Street,clear,None,54,35,18
2023-01-14,LM-ATM-020,Pier 17,clear,None,51,42,25
2023-01-15,LM-ATM-001,Battery Park,clear,None,70,53,32
2023-01-15,LM-ATM-002,Wall Street,clear,None,81,25,12
2023-01-15,LM-ATM-003,Broad Street,clear,None,82,29,15
2023-01-15,LM-ATM-004,Fulton Center,clear,None,101,41,26
2023-01-15,LM-ATM-005,South Street Seaport,clear,None,74,61,38
2023-01-15,LM-ATM-006,Tribeca,clear,None,62,31,15
2023-01-15,LM-ATM-007,City Hall,clear,None,75,35,20
2023-01-15,LM-ATM-008,Chinatown,clear,None,71,46,26
2023-01-15,LM-ATM-009,Little Italy,clear,None,56,42,25
2023-01-15,LM-ATM-010,SoHo Broadway,clear,None,64,53,31
2023-01-15,LM-ATM-011,NoLiTa,clear,None,36,27,15
2023-01-15,LM-ATM-012,Canal Street,clear,None,62,37,20
2023-01-15,LM-ATM-013,World Trade Center,clear,None,91,40,23
2023-01-15,LM-ATM-014,Brookfield Place,clear,None,80,31,18
2023-01-15,LM-ATM-015,Bowling Green,clear,None,66,32,17
2023-01-15,LM-ATM-016,Staten Ferry Terminal,clear,None,55,38,26
2023-01-15,LM-ATM-017,Essex Market,clear,None,57,38,19
2023-01-15,LM-ATM-018,Houston Street,clear,None,54,30,18
2023-01-15,LM-ATM-019,Delancey Street,clear,None,73,45,25
2023-01-15,LM-ATM-020,Pier 17,clear,None,61,48,32
2023-01-16,LM-ATM-001,Battery Park,clear,None,63,39,24
2023-01-16,LM-ATM-002,Wall Street,clear,None,132,30,13
2023-01-16,LM-ATM-003,Broad Street,clear,None,116,30,11
2023-01-16,LM-ATM-004,Fulton Center,clear,None,88,42,21
2023-01-16,LM-ATM-005,South Street Seaport,clear,None,64,43,29
2023-01-16,LM-ATM-006,Tribeca,clear,None,74,34,12
2023-01-16,LM-ATM-007,City Hall,clear,None,89,37,19
2023-01-16,LM-ATM-008,Chinatown,clear,None,66,31,18
2023-01-16,LM-ATM-009,Little Italy,clear,None,68,44,27
2023-01-16,LM-ATM-010,SoHo Broadway,clear,None,72,46,32
2023-01-16,LM-ATM-011,NoLiTa,clear,None,65,33,25
2023-01-16,LM-ATM-012,Canal Street,clear,None,86,48,27
2023-01-16,LM-ATM-013,World Trade Center,clear,None,123,44,27
2023-01-16,LM-ATM-014,Brookfield Place,clear,None,98,35,22
2023-01-16,LM-ATM-015,Bowling Green,clear,None,81,31,17
2023-01-16,LM-ATM-016,Staten Ferry Terminal,clear,None,67,45,28
2023-01-16,LM-ATM-017,Essex Market,clear,None,58,31,19
2023-01-16,LM-ATM-018,Houston Street,clear,None,68,38,22
2023-01-16,LM-ATM-019,Delancey Street,clear,None,59,29,18
2023-01-16,LM-ATM-020,Pier 17,clear,None,61,45,28
2023-01-17,LM-ATM-001,Battery Park,clear,None,64,34,23
2023-01-17,LM-ATM-002,Wall Street,clear,None,128,33,12
2023-01-17,LM-ATM-003,Broad Street,clear,None,103,32,14
2023-01-17,LM-ATM-004,Fulton Center,clear,None,109,50,24
2023-01-17,LM-ATM-005,South Street Seaport,clear,None,69,42,29
2023-01-17,LM-ATM-006,Tribeca,clear,None,71,27,13
2023-01-17,LM-ATM-007,City Hall,clear,None,86,32,19
2023-01-17,LM-ATM-008,Chinatown,clear,None,76,38,23
2023-01-17,LM-ATM-009,Little Italy,clear,None,64,39,25
2023-01-17,LM-ATM-010,SoHo Broadway,clear,None,89,65,40
2023-01-17,LM-ATM-011,NoLiTa,clear,None,65,46,25
2023-01-17,LM-ATM-012,Canal Street,clear,None,92,47,28
2023-01-17,LM-ATM-013,World Trade Center,clear,None,85,32,17
2023-01-17,LM-ATM-014,Brookfield Place,clear,None,134,36,23
2023-01-17,LM-ATM-015,Bowling Green,clear,None,74,30,16
2023-01-17,LM-ATM-016,Staten Ferry Terminal,clear,None,68,45,26
2023-01-17,LM-ATM-017,Essex Market,clear,None,55,34,17
2023-01-17,LM-ATM-018,Houston Street,clear,None,75,38,23
2023-01-17,LM-ATM-019,Delancey Street,clear,None,69,38,24
2023-01-17,LM-ATM-020,Pier 17,clear,None,56,46,26
2023-01-18,LM-ATM-001,Battery Park,rain,None,43,22,13
2023-01-18,LM-ATM-002,Wall Street,rain,None,83,24,11
2023-01-18,LM-ATM-003,Broad Street,rain,None,96,26,10
2023-01-18,LM-ATM-004,Fulton Center,rain,None,90,35,21
2023-01-18,LM-ATM-005,South Street Seaport,rain,None,53,34,22
2023-01-18,LM-ATM-006,Tribeca,rain,None,56,22,11
2023-01-18,LM-ATM-007,City Hall,rain,None,62,28,13
2023-01-18,LM-ATM-008,Chinatown,rain,None,61,31,16
2023-01-18,LM-ATM-009,Little Italy,rain,None,51,33,20
2023-01-18,LM-ATM-010,SoHo Broadway,rain,None,71,46,33
2023-01-18,LM-ATM-011,NoLiTa,rain,None,49,33,20
2023-01-18,LM-ATM-012,Canal Street,rain,None,69,31,20
2023-01-18,LM-ATM-013,World Trade Center,rain,None,87,32,15
2023-01-18,LM-ATM-014,Brookfield Place,rain,None,91,30,18
2023-01-18,LM-ATM-015,Bowling Green,rain,None,67,26,12
2023-01-18,LM-ATM-016,Staten Ferry Terminal,rain,None,39,26,14
2023-01-18,LM-ATM-017,Essex Market,rain,None,55,26,15
2023-01-18,LM-ATM-018,Houston Street,rain,None,51,37,18
2023-01-18,LM-ATM-019,Delancey Street,rain,None,56,34,18
2023-01-18,LM-ATM-020,Pier 17,rain,None,62,40,29
2023-01-19,LM-ATM-001,Battery Park,cloudy,None,63,35,20
2023-01-19,LM-ATM-002,Wall Street,cloudy,None,115,35,17
2023-01-19,LM-ATM-003,Broad Street,cloudy,None,93,28,12
2023-01-19,LM-ATM-004,Fulton Center,cloudy,None,89,41,26
2023-01-19,LM-ATM-005,South Street Seaport,cloudy,None,72,51,29
2023-01-19,LM-ATM-006,Tribeca,cloudy,None,81,34,14
2023-01-19,LM-ATM-007,City Hall,cloudy,None,82,30,14
2023-01-19,LM-ATM-008,Chinatown,cloudy,None,56,28,17
2023-01-19,LM-ATM-009,Little Italy,cloudy,None,52,33,20
2023-01-19,LM-ATM-010,SoHo Broadway,cloudy,None,57,41,28
2023-01-19,LM-ATM-011,NoLiTa,cloudy,None,61,43,22
2023-01-19,LM-ATM-012,Canal Street,cloudy,None,74,39,22
2023-01-19,LM-ATM-013,World Trade Center,cloudy,None,98,32,20
2023-01-19,LM-ATM-014,Brookfield Place,cloudy,None,92,33,16
2023-01-19,LM-ATM-015,Bowling Green,cloudy,None,77,30,17
2023-01-19,LM-ATM-016,Staten Ferry Terminal,cloudy,None,55,33,21
2023-01-19,LM-ATM-017,Essex Market,cloudy,None,50,23,14
2023-01-19,LM-ATM-018,Houston Street,cloudy,None,70,40,24
2023-01-19,LM-ATM-019,Delancey Street,cloudy,None,52,30,15
2023-01-19,LM-ATM-020,Pier 17,cloudy,None,51,40,24
2023-01-20,LM-ATM-001,Battery Park,clear,None,59,38,24
2023-01-20,LM-ATM-002,Wall Street,clear,None,123,26,12
2023-01-20,LM-ATM-003,Broad Street,clear,None,115,27,14
2023-01-20,LM-ATM-004,Fulton Center,clear,None,112,38,26
2023-01-20,LM-ATM-005,South Street Seaport,clear,None,64,51,32
2023-01-20,LM-ATM-006,Tribeca,clear,None,70,26,15
2023-01-20,LM-ATM-007,City Hall,clear,None,91,34,18
2023-01-20,LM-ATM-008,Chinatown,clear,None,63,33,17
2023-01-20,LM-ATM-009,Little Italy,clear,None,44,27,18
2023-01-20,LM-ATM-010,SoHo Broadway,clear,None,59,41,33
2023-01-20,LM-ATM-011,NoLiTa,clear,None,56,34,22
2023-01-20,LM-ATM-012,Canal Street,clear,None,62,30,19
2023-01-20,LM-ATM-013,World Trade Center,clear,None,99,35,19
2023-01-20,LM-ATM-014,Brookfield Place,clear,None,85,29,16
2023-01-20,LM-ATM-015,Bowling Green,clear,None,75,27,16
2023-01-20,LM-ATM-016,Staten Ferry Terminal,clear,None,73,45,28
2023-01-20,LM-ATM-017,Essex Market,clear,None,62,27,18
2023-01-20,LM-ATM-018,Houston Street,clear,None,62,34,21
2023-01-20,LM-ATM-019,Delancey Street,clear,None,53,30,14
2023-01-20,LM-ATM-020,Pier 17,clear,None,55,43,27
